"game_number","alt_purple","stable_orange","stable_purple","both_stable","one_stable","other","treatmentName","bonus","writtenPlan","did_you_follow_advice","what_was_partner_advice","feedback"
"01KFEDC9FF7T49EPA99GZDGH84",0,0,0,0,1,0,"CG_cooperate",322,"lets pick A and B. its fair that way,  | We need to find parking spots that are fair to each other with regards to earnings....by picking the highest value all the time clashes will happen","yes, I feel that we both followed the advice. I did try to switch it up a bit to see if he or she would also change but I got best results when I kept my choice constant | certainly i think we worked okm as a team"," | ","no | Thank you for this invite"
"01KFEDCCHJADFRJT5F5VJ9ST9F",0,0,1,0,0,0,"noCG_cooperate",455,"maybe i would park in A | Park on either orange spot for equal pay"," | ","the same advice i got, to find something fair for both | Same as mine","No | None"
"01KFEHA1GDXTPSA0SX8CRPX47C",0,0,0,0,0,1,"CG_cooperate",178,"Try to park in a purple spot if the person wants a yellow spot then it is a yellow spot  | Park first in C spot, then B spot ","yes, but we ran into trouble once in a while. | Pretty well, yes"," | ","no, not at all. | N/A"
"01KFEHA1GK3DQ7TRWFWA7J267H",0,0,0,0,1,0,"noCG_selfish",241,"Honestly I'd put my car into B or D spot, hoping that my partner would always pick either A or C. If he does otherwise, I'll adjust. | Playing safe always"," | ","That I was picking either B or D. But they didn't stick to that. | play safe and dont allow greed to take over.\n","Everything worked just fine. | N/A\n"
"01KFEHA1GPSKM8FTTA039GX2FE",0,0,0.25,0,0,0.75,"CG_selfish",271,"I will park in C and hope my partner parks in D.  | To park in the spot with highest earnings, whilst considering that my partner may also do the same.","No, my partner was inconsistent | Yes, but we both varied the parking slot when we realised that we would earn nothing if we both parked in the highest earning slot every time"," | "," | "
"01KFEHA1GRK7A014NXTNRF457G",0,0,0,0,0,1,"noCG_cooperate",264,"I will find a game plan that’s fair for both of us | I plan to choose a parking spot that balances high potential earnings with a low risk of collision. I will try to coordinate on a same-color spot to earn the bonus while avoiding picking the exact same spot as my partner."," | ","I think my partner received the advice to choose a plan which is fair for both of us | I think my partner may have received advice to choose a high-paying individual spot, such as C, rather than focusing on coordination. Their choices suggest they prioritized regular earnings over same-color coordination or collision avoidance."," | "
"01KFEHA1QDYX27N1S60Z95NKD9",0,0,0,0,1,0,"CG_cooperate",218,"I give my best to Win thats all :-P | I will try to park at D, if it wasn't available I will try B or A","Ja war angemessen | yes, sometimes"," | ","Nein , war sehr angenehm. | no. it was great experiment"
"01KFEHA1QMX5DYGHPSSSP2RXXX",0,1,0,0,0,0,"noCG_cooperate",480,"I will try to park in Orange parking space so we both get a regu;ar earming and bonus at the same value to make it fair | I will often took to take A consistently, and hopefully my partner takes B and understands the fairness"," | ","To try to find best space to share bonus earnings fairly | Play fair"," | "
"01KFEHA1QYV2E8SAEFNEHYNVTN",0,0,0.5,0,0,0.5,"CG_selfish",329,"i will choose the best parking spot that would give me a bonus | Is to collect as much points I can to boost my bonus reward","yes i followed. not sure about my partner | Yes but somehow I felt we missed something "," | ","nice study | The study was great "
"01KFEHA1R32D8V3SKQA6BEDXA8",0.25,0,0,0,0,0.75,"noCG_selfish",184,"go for the highest payment | i will try to park on C or D to maximize potential earnings for both of us"," | ","highest earning | I have no clue, but probably to choose C for max earnings"," | "
"01KFEHA1Z72TJ9J0QENR016CFN",0,0,0,0,0,1,"noCG_cooperate",242,"I think the chances of balance would be with A and B, and would be the most equitable. I would recommend that based on the fact that both of us would receive the stated earnings with a bonus.  | I think my partner would go for C - so I will avoid it. I feel like a 20 MU bonus might be fair so I'll go with either A or B."," | ","Maybe they were told to choose one that is consistently different each time. | I think my partner would've received similar advice to me, however it fell apart when we kept landing on the same space. I think we went randomly."," | "
"01KFEHA1ZNDEMMB0DK92YAW8BD",0,0,1,0,0,0,"noCG_selfish",426,"I plan to choose the second best option for payment as I think that my partner will likely pick the best option. I am hoping that this will avoid collisions and maximise how much I can earn during the task. | My plan is to find a safe spot for me and not moving around and hoping my partner do the same"," | ","To pick the second best option for most rounds so that it would likely be a different pick to your partner and maximise your earnings. | The same as I did ","This was a different and interesting study, I really enjoyed it- thank you! | "
"01KFEHA1ZSVYK8DGYZZSV53FQM",0,0,0,0,0,1,"CG_selfish",195,"I will try to park same color and different spot to maximize my earning and bonus | parking in different colored parking spaces","I think we selected random parking slot rather than a deep strategic partnership. | Yes, I believe that strategically both followed the recommendations well."," | "," | "
"01KFEHA25NESP3C46R1STZWY67",0,1,0,0,0,0,"noCG_selfish",424,"Start by getting the best possible for myself. Depending on how my partner does I'd adjust to benefit both of us as best. | Choose the color that gives me the most financial advantage and then choose a place in that color according to my partner's choices so as not to clash."," | ","To try to get the best possible personal outcome. | Choosing the best option for both players in a group.","Everything went fine. Thanks. | Nothing"
"01KFEHA25S6PYJD4DSX1VJG5FE",0,1,0,0,0,0,"noCG_cooperate",475,"i should pick either spot a or spot b as i think my partner will go for spot c as it pays the most | Try to make sure we land at different spots but the same colour."," | ","pick random letters | They should pick the same spot."," | "
"01KFEHAKMDAJRN7M0QA4VDJCGY",0,0,0.25,0,0,0.75,"CG_selfish",191,"Avoid parking in the same spot as the partner. A bonus depends on the colour choices made. | To try as much as I can to match with my partner to maximize our bonus","They played aggressively  | yes I think we tried our best to get the highest bonus"," | ","no  | No"
"01KFEHAM3ZX2QFEZ4F28QFW79D",0,0,0,1,0,0,"CG_cooperate",249,"Try to benefit both me and my partner | I'll just park in spot B every time","yes we did | I don't know what afdvice my partner got"," | "," | inputting numbers were extremely laggy"
"01KFEHAM45R1366856G6A2WGHZ",0,0,0,0,0,1,"noCG_cooperate",332,"My plan is to aim for a coordinated outcome that balances fairness and efficiency. The most fair option is choosing the orange pair (A+B), since both players earn the same amount (20 MU each) if we succeed. While the purple pair (C+D) gives a higher total, it is uneven (29 vs. 17). To follow the advice, I will choose one of the orange spots, because it avoids collisions if my partner also thinks about fairness and it ensures equal payoffs for both of us. This way, we maximize our joint bonus while keeping the outcome balanced. | We need to decide well to win together."," | "," likely received advice encouraging efficiency, such as aiming for the highest total payoff.\n | We need to choose well to win together"," | none"
"01KFEHAM4AZFDTAG8DR1VA4141",0,0,0,0,1,0,"noCG_selfish",356,"my game plan is to get as much MUs as possible | I plan to win"," | ","I think they got advice not to follow me around | I think they did not get the bonus"," | I enjoyed it, I found it easy to teach my partner my game strategy that I only developed during the game"
"01KFEHAMATV7GY0NQF17M2P0MD",0,0,0,0,1,0,"CG_cooperate",254,"i will be packing my car in slot B. | My plan is to aim for the purple pair (C + D) whenever possible, since that combination yields the highest total payoff (46 MU).","Yes, I believe my partner and I followed the advice given well | i think we followed the advice weel."," | ","Add somewhere we can chat with my partner | "
"01KFEJ5C9822567XDA8A9QG0G3",0,0,0.25,0,0,0.75,"CG_selfish",214,"i will try to be as strategic as possible by following the instructions given | I will try to target the most paying spots inorder to earn more points ","no, it seemed like we kept on making the same choices most of the time | Yes, I noticed when we chose the same ,we changed on the following round "," | ","no issues | "
"01KFEJ5CQQ00MKPGMA298B0BDM",0,0,0.25,0,0,0.75,"noCG_cooperate",341,"I think I will aim for spot c to try and maximise points while hoping my partner coordinates by chosing d | i will aim for C and D "," | ","The advice was possibly to prioritize coordination to begin with. Then return to the successfull options.  | To aim for purple"," | "
"01KFEJ5CRSNMMQKHYMFD35850B",0,0,0,0,0,1,"noCG_selfish",363,"Let’s split by color — I’ll take C, you take D. That way we both win big | The plan is to choose the spot that I think my partner won't choose."," | ","the same as mine | To try and move between the parkings","no problems encountered i enjoyed the game | "
"01KFEJ5D5EZSQZ1FHTABW8Z6HQ",0,0,0.25,0,0,0.75,"CG_cooperate",408,"I will start with the highest amount then see what my partner chooses  | I am going to stick with the same colour to begin with and see how its goes, same colour but alternate the spot","Yes,my partner and I choose spots that's fair for both of us mostly  | Yes, I feel we both got the rhythm of what the other was going to do."," | "," | No problems.  I enjoyed this survey, it was fun."
"01KFEJ5D6TNJMBKPJMAENEXHMP",0,0,0,0,1,0,"noCG_cooperate",398,"I will trust my guts | i'll try to help both and decide watching the other choice"," | ","I do not know. | i don't know"," | "
"01KFEJ5DNSX5Y5MH73PBQYYZM3",0,0,0,0,0,1,"noCG_cooperate",327,"I will keep alternating between the alphabets, I will not choose alphabets next to each other. | My game plan is to go for parking spots that seem to deviate outside of the typical choice. I will also follow my partner's patterns to see how they're selecting their parking spots and try to deviate from that as best as I can."," | ","I think they were picking random alphabets.  | Probably a similar strategy to my approach to the game: don't go for the obvious answer and try to study your partner's patterns of decision making."," | It was hard to determine why I made my exact earnings sometimes. I found the outcome a bit arbitrary."
"01KFEJ5DPFFD934S0E2GQ1B9RR",0,0,1,0,0,0,"noCG_selfish",414,"I plan to park at C because there is a probability that my partner may park at D | I will park in C if possible. If my partner starts to go there, I'll move to D A or B"," | ","To follow their instincts  | I have no idea. They were all over the board to start.","The study went on smoothly. No issues encountered. Thank you. | "
"01KFEJ5DPRA3SJMDJ397B8T8C1",0,0,0.25,0,0,0.75,"CG_selfish",300,"I would try to park in A B or C because its the ones with more value. Having a good chance of not chosing the same one that my partner does | Choose the best spot that my partner won't think about","I think we did | Yes because we kept on wanting the best spot for ourselves"," | ","No | "
"01KFEJ5E9BF1S7ZWGC98397B4G",0,0,1,0,0,0,"CG_cooperate",489,"Park in A for consistency - assume partner parks in C | I won't go for the highest in the hope my partner might. I'll pick a middle of the road payer","yes we both chose favourable outcomes | My partner worked out which one I was going to stay on and they picked the other one of the same colour. We then just carried on picking the same space. My partner was very good"," | "," | "
"01KFEKHW2KQMM6E7GG18D0G9TT",0,0,0,0,0,1,"noCG_cooperate",316,"i will play B | Try to pick the same parking spot "," | ","the same as me | Learn your partner pattern"," | Learn your partners pattern "
"01KFEKHWZEPZZY95F2XW7M1MFP",0,0,0,0,0,1,"CG_cooperate",254,"Just about to make sure that i do my best in action. | park different where my partner is not parking avoid collusion ","YES BECAUSE WE REALLY HAVE NOT CLASHED THAT MUCH,MEANING WE BOTH UNDERSTOOD THE MANDATE. | yes i felt that we followed advice and was attentive "," | ","JUST ENJOYED THIS ACTIVITY. | no"
"01KFEKHX0GFP3226G2XP5V5QA7",0,0,0,0,1,0,"noCG_selfish",341,"I'm going to aim for the highest earnings and take the risk | just try and be smart and fast, not follow a pattern"," | ","To work as a team | try to see a pattern"," | "
"01KFEKHX1P9ZX6RDK1X5H16NSJ",0,0,1,0,0,0,"CG_selfish",489,"My plan is to use win the game | I will try to not have any collisions. I will try different spots.","yes we follow the advice well | yes, we did the best for both of us"," | ","It was so interesting  | none"
"01KFEKHX2RB171QB64SDRQQFHC",0,0,0,0,1,0,"noCG_cooperate",416,"try and find the better outcome for both of us | pick a same general area every time to let my partner know where i am going"," | ","Try to find an outcome that's best for fair for both of you | pick similar spots to let your partner know where you are going.","thanks | nope!"
"01KFEKHXG0QSJ727TF9BK0CVWT",0,0,0,0,0,1,"noCG_cooperate",305,"I'll try to park in a spot with the same color to maximize my chances of earning the 10 MU bonus. | I feel that alternating parking in spot C with my partner while parking in A or B in the alternate rounds would be the most beneficial to both of us."," | ","They were often choosing C because they wanted to earn \ | I feel that my partner received similar advice about trying to be fair and cooperative.","feedback | all good, thanks"
"01KFEKHXK7R8H3J1J8XZRRFJYB",0,0,1,0,0,0,"noCG_selfish",564,"try to pick a different spot from my partner | I'll play based on the advice, and choose the best way for myself."," | ","do whatever is best for you | Play to maximize the earnings based on what the other partner chooses."," | "
"01KFEKHYHJB14HYQ6WNW69M0EN",0,0,1,0,0,0,"CG_cooperate",598,"If I could get my partner to get on the same page as me, what I'd like to do is in each round identify the color with the highest total bonus, and then I always pick the left side of that color, and they always pick the right side so we don't crash. That would lead to the best outcome for both of us in the long run. However, I will have to adjust that based on what my opponent is doing and try not to crash into them. | I will try to cooperate with my partner to find the best solution for both of us. Always try to  be the same color even if I make a little less than my partner. Avoid parking in the same spot at all costs.","Not exactly, but I also don't think it was necessarily good advice. If we had kept trying to switch around to make the total earnings more fair, it would have been more difficult to stay on the same page, and we likely would have crashed and got nothing. | Yes we made sure to work together"," | ","At one point I just got a white screen with nothing moving forward, but after I refreshed it went on to the next round and was fine. | No"
"01KFEKHZ9SCZ02EGGWRNFEECG2",0,0,1,0,0,0,"noCG_selfish",581,"i will get the best outcome for myself | I am planning to select mostly one of the orange ones."," | ","do whats best for themselves | To always select the one with the highest value"," | "
"01KFEKHZBEEPDRHKRQPWCS3SGH",0,0,0,0,1,0,"CG_selfish",178,"lets gooo!!1 | Follow a pattern , If I chose yellow I will choose purple next , or repeating same color through out","it was a caos hahaha | yes we both did what was best for us "," | ","nothing  | the earnings you not be mentioned during the game but after because my partner did not let the sport that is paying much go "
"01KFEKHZCYGXG9E88XG20MH24Y",0,0,0.75,0,0,0.25,"noCG_cooperate",518,"I would park on B because the other player might try to get on C | Try to maximise the spots with higher MU where possible"," | ","be greedy. or maybe the same that i got but the other one was still greedy. | Something about making it fair for everyone ","i had to reload because i ended up with a white screen multiple times | "
"01KFEKHZJWCME2TD44SWFYQ3JK",0,0,0,0,0,1,"CG_cooperate",339,"try to not park in the same sport | I WILL CHOOSE THE SAME SPACES UNTIL MY PARTNER NOTICES THAT I AM NOT CHANGING SPOTS","yes I think so | TO A CERTAIN EXTENT,YES I THINK THEY FOLLOWED"," | ","not really | "
"01KFEKHZKRT77TCYW9QR636P3H",0,0,0.75,0,0,0.25,"noCG_cooperate",293,"Try to park in A each time. | I believe i will try to be greedy and to maximize my earnings, at least on the first rounds to see what my partner does"," | ","Stay consistent; anything is better than zero | Don't be greedy, try to play with your partner","not enough rounds to develop a pattern with partner so I just started being greedy | Nothing at all thank you for the study"
"01KFEKHZN529E42QD9METE3SFK",0,0,0,0,0,1,"noCG_selfish",282,"I will try to work with my partner to get the best outcome for everyone | not gonna pick my best outcome, but one below"," | ","Work to gain for the best outcome for yourself | pick the best for yourself","It was a strange task.  | no"
"01KFEKP8SWACZ78Z101DJZ9YZX",0,1,0,0,0,0,"CG_cooperate",446,"I will park in the same spot each time, and not the highest paying one. Hopefully my partner will figure that out soon. | i wil try to ear as much as possible but thinking of my partner, therefore i prefere to win just a little bonus rather than zero","Yes, I think my partner  early figured out that I chose the same spot each time. | i didn't in the start because i didn't know how he would play but we figured it out"," | ","Was fun. | no"
"01KFEKPARRGKN060WSHP4MXPVN",0,0,0,0,0,1,"noCG_selfish",329,"Park in different spots that have the highest mu | Im going to go by my own plans"," | ","Do whats best for you | He got some good advices"," | Non"
"01KFEKPB2MD43HRXJ5S36AZP95",0,0,1,0,0,0,"noCG_selfish",455,"My game plan is to go for purple probably C because that would make me the most it's the highest possible payout | I was told to play, the best for me which is what might be the same thing my partner got so avoid the higest MU"," | ","probably to play for even payouts | Choose the highest MU "," | "
"01KFEV2C08ND9C9BYW8N2T146P",0,1,0,0,0,0,"noCG_cooperate",509,"I'll always go for A, maybe my partner notices and never choses it | I think we should both plan on parking in either A or B, that way we still get potentially 20MU, that is the most fair. We should avoid D and only use C occasionally."," | ","He understood the strategy we were having | Probably to just avoid a collusion honestly, otherwise the same instructions as me."," | Whenever it asked me how much I had earned total, it was laggy, like it frequently wouldn't catch me putting in 2, and catching the 0 first, so I'd have to re-enter it. We got done much sooner than 10 minutes so I hope we still get the $2 plus the bonus."
"01KFEV2C0CP35QE41ZMH45J8TZ",0,0.25,0,0,0,0.75,"CG_cooperate",294,"I plan strictly to go after the low earnings so that the likelihood of a collision remains low. | simply i will try to find the best solution that is fair and good for both of us.","Yes, I slightly detoured and went after the highest amount on occasion out of greed, but for the most part, I believe we both followed the plan well. | I dont feel that all. feels like it was randomly picked."," | ","N/A | I don't have"
"01KFEV378FNG971PBW7B2SPNC6",0,1,0,0,0,0,"CG_cooperate",509,"You and another person choose a spot each to park.\nIf both choose the same spot, both gain nothing.\nIf each choose different spot with different colour, each gain the regular earnings.\nIf each choose the same colour but different spot, both also gain a bonus. | I'm going to assume the other person will try to park the car in the spot that gives the most MUs and try to park in the other spots.","For the most part, yes.\nMy partner gained more than me because they chose the unfair option once, but since fighting for it would be destructive, I decided to keep choosing the fair option and my partner chose it too for the rest of the game. | Yes, we both chose the option that was good for both of us."," | ","No problems. | "
"01KFEV378H0PY96RNMJFNCN7TE",0,0,0.5,0,0,0.5,"CG_selfish",213,"Try to gain as many points as possible while not causing issue for others.  | I want to make sure I get the most points. I also want to make sure my teammate works well with me. I am going to try to tell them where to go. ","I think my partner did after I chose C the first round.  | Yes. "," | ","No feedback or issues. Good luck on your research.  | I was getting frustrated with their answers. "
"01KFEV378H0PY96RNMJTMM0E4X",0,0,1,0,0,0,"noCG_selfish",437,"I will start parking in B, since my partner may choose A or D , I will be guessing  | Taking the advice of a previous player I am going to try to think laterally to enhance my success.,"," | ","To go for the highest bonus | Probably the same advice as me and we were trying to pre-empt each others move.","It was fun | "
"01KFEV378PDZP87HXSESW6BA01",0,0,0,0,0,1,"noCG_cooperate",333,"as human beings we tend to be selfish, so I will go for the lesser amount for each color per game | I think that I should always pick the one that has the same regular earnings (so in the example it would be orange as we would receive 10 MU each) as I think my partner will also pick the fairer option. I generally think it is more likely that they will either pick the fairer option or (if they don't go for that) the option with the higher base earnings so I think we may be able to minimise collisions this way. I think I may try to pick the second option out of the two equal options in the hope that my partner may instinctively go for the first option. "," | ","To stick to one parking spot for as long as possible | Go for the higher paid option when possible.","non | "
"01KFEV37DAAK9E08F076WKMM6J",0,0,0,0,0,1,"CG_cooperate",213,"I will use the advice given to me by the previous player. | park on B or A and sometimes C","Yes, I feel as though we followed the advice well. | sometimes"," | ","No. | "
"01KFEV37DE991T271V0BRDHRJW",0,0,0,0,0,1,"noCG_selfish",270,"I will pick option C in case my partner chooses the highest earning option | I´ll try to alternate among the different spot. I´ll try to be as random as possible."," | ","To play it safe (options A or B) | try to look for yourself"," | "
"01KFEV37DE991T271V0NJ5BY6K",0,0,0,0,1,0,"noCG_cooperate",363,"to see what pattern has been used in the previous games | Optimal MU would indicate parking at C & D."," | ","to go through each colour for choice | To aim for the highest paying options"," | The screen went blank several times"
"01KFEV37PYV9HETXX2PC055NBT",1,0,0,0,0,0,"noCG_selfish",535,"Avoid parking in the same spot at all costs, will try to get the maximum reward for both parties | Try to get as many bonuses as possible. ideally different spots on the same color, alternating. Once I pick the one with the highest regular earnings, the next time I'll pick the other option of the same color."," | ","i think after a few rounds we figured to keep switching C, D for both of us to get the maximum reward | I have no idea. I honestly disregarded the advice I received and focused on maximizing potential bonuses while working fairly with my partner."," | "
"01KFEV37PYV9HETXX2PSGE1RKD",0,0,0,0,0,1,"noCG_cooperate",334,"I don't really understand the game very well, but I will give it a try. | I´m expecting my partner to park in biggest earnings spot, so I will start to park on D. I don´t know what I´m going to do after, let it flow!!!"," | ","Change position everytime, purcple color is better | He was trying to choose C every time, since was the one with the biggest earnings.","No it was fun | "
"01KFEV37Q0WSYAYKWHM2EXN0DN",0.5,0,0,0,0,0.5,"CG_selfish",351,"I plan to follow the advice and get the best for myself. | I will try and get the best earnings for myself","I think I'm mainly to blame because I was a bit confused at first but at the end I wanted to implement a strategy where we would each alternate between C and D to get the best score and have more equity, I think it started to work well at the end because we managed to alternate a little bit. | yes I feel like we both understood the rules well and tried to make the most amount of bonus for ourself"," | ","No problem encountered. | no"
"01KFEV384Y33BFECW27AH8GSGD",0,0.25,0,0,0,0.75,"noCG_selfish",242,"I will try and recognize a pattern of choice of my partner so I can follow | I will try to park in A, B or C. I won't try to park everytime in C."," | ","I did not see one | Don't pick the same letter everytime","I do not | "
"01KFEV385166A8JYCZ9G4DMHRQ",0,0,0,1,0,0,"CG_selfish",289,"I am going to always choose B regardless of what the other player picks. that way if they figure out what im doing we'll both earn points and if i miss out a little bit, its okay | Try and get the most MU for myself and park in different spots to the other player.","Kind of? It would be best if they kept selecting C as it pays most but they chose randomly like D which has lowest payout.\nThey failed to recognise my plan of always clicking B | I think I did as I picked C many times so got more MU for myself. My partner mainly stuck to B so they could have earned more."," | ","seems simple | "
"01KFEV38AHTHHCNTDGHAJN0GXG",0,0,0,0,0,1,"CG_selfish",208,"My game plan will be too make the most earnings. I will park in the spot to earn me the most. | alternate with my partner to park in c and the other in a or b","No, i feel we both went to earn the most points | to well bad advice"," | "," | alternating c is the best strategy"
"01KFEV38AJ2CFPYBQZ58NH0V5J",0,0,0,0,1,0,"noCG_selfish",278,"To maximise my bonus. Try to park on a different colour if possible | i will look for different spots.  i think i will get the best reward that way"," | ","Maximise Units | none i do not think they were a real person","no | "
"01KFEV38AJ2CFPYBQZ5JKK7PV4",0,0,0.75,0,0,0.25,"noCG_cooperate",426,"I will try to copy what my partner does but pick the other same color | no game plan just to win everything"," | ","To try to stick to the highest payout option as possible and force me to pick the lower one, so that we both get paid .  | Purple is a win"," | "
"01KFEV38H48T18ZRM15RETR33C",0.5,0,0.25,0,0,0.25,"CG_selfish",225,"I think I am gonna aim for alway the same spot in the A or B side, Hoping he can catch my strategy and not change spots, I think it's the best outcome for both of us, otherwise wi will collide all the time | I think I am going to pick B because I feel like the other player may try to go for C to try to earn more and I don't want to have a collision","Yes, they followed it well, I think at the end we were both loosers | Yes it felt like we were both trying to do the same thing at the same time unfortunately."," | ","I had to refresh the pagge a few times | "
"01KFEV38H8T2V9428VC9T7MEBA",0,0,0,0,1,0,"noCG_cooperate",265,"Fair game, bonus for the two of us | I would like to do half times C and half D, and would like the other participant to do the same, on turns so we both earn the max possible points"," | ","to choose the option that is most favorable to them | I don't know, but he didn't follow what I was thinking to do, probably he wanted to do A-B always instead of B-D turning turns and we end up with way less than we could","everything was fine | "
"01KFEVMNAWK7WRWM1AMQZKX6SA",0,1,0,0,0,0,"noCG_cooperate",440,"I want to choose orange every time so that my partner and I get the same amount of bonus but I don't know whether my partner will choose a or b. However this time I will stick with B | we keep choosing A B to get a fair share"," | ","The same as me that we should aim for a fair split | to choose B all the time so that I would choose A and it would be fair"," | "
"01KFEVMNB841AFDZFM4WSW4FTD",0,0,1,0,0,0,"noCG_selfish",489,"I'm gonna part in the spot with the highest bonus, hoping that my partner will probably assume that and than they'll park in the spot with the same color next to it. It's a stretch but I can't think of a better plan off the top of my head. | The strategy depends on if there is communication. If there is no communication then both players will most likely overthink their strategies and try to predict their team mate being selfish and end up colliding a lot. The safest play is 7MU while the most common would be 10MU and greedy players choosing 19MU. I will rotate between 10MU and 7MU and rarely choose 19MU."," | ","Probably the same as I did, which to choose what's best for himself/herself. | Be greedy or look out for yourself similar to mine.","It was an interesting game, I thought we were gonna be able to communicate. | I changed strategy to the one i mentioned. It changed to a either both get nothing or you choose the purple spot. "
"01KFEVMNBC23RB4D79KEQ4G0VS",0,0,1,0,0,0,"CG_selfish",431,"To coordinate with my partner to get an equal amount of money overall. | I will always take D. I assume my partner will want the max rewards, which is C. This is the logical choice, and the advice we received. If I take D, we will get the bonus. Choosing C would affect both of us, if my assumption of my partner choosing C is true.","My partner just went the same spot every time, letting me have more money, so no. | Not at the beginning. I chose the lowest reward, and my partner went for the A and B. Then my partner was willing to alternate between C and D, I guess. We ended up following each other."," | "," | My second round did not load. A refresh was enough, though I was afraid to exit doing so."
"01KFEVMNHFNDCGHX9QBBFN387E",0,0,0.75,0,0,0.25,"noCG_cooperate",351,"to try and get more MU | MY PLAN IS TO TARGET THE PURPLE PARKING SPOTS BECAUSE THEY OFFER THEHIGHEST POTENTIAL COMBINED PAYOUT"," | ","choose themself  only | I BELIEVE MY PARTNER RECEIVED THE SAME INSTRUCTIONS TO MAXIMIZE THEIR TOTAL MU"," | "
